id,title,description,availability,condition,price,link,image_link,brand
34,Art Corner - طقم مرايا يد للعروس بخط عربي وإطار ذهبي مزخرف,قطعة فنية أصلية مرسومة يدويًا من Art Corner,in stock,new,500.00 EGP,https://art-corner.org/index.html?p=34,https://art-corner.org/art-34.jpeg,Art Corner
35,Art Corner - طقم ٣ شمعدانات خضراء مع صينية خشبية منحوتة,قطعة فنية أصلية مرسومة يدويًا من Art Corner,in stock,new,1900.00 EGP,https://art-corner.org/index.html?p=35,https://art-corner.org/art-35.jpeg,Art Corner
36,Art Corner - مرآة حائط بإطار فسيفساء ملونة ولون فيروزي,قطعة فنية أصلية مرسومة يدويًا من Art Corner,in stock,new,1800.00 EGP,https://art-corner.org/index.html?p=36,https://art-corner.org/art-36.jpeg,Art Corner
37,Art Corner - علبة مناديل خشبية رمادية خضراء بخط عربي ذهبي بارز,قطعة فنية أصلية مرسومة يدويًا من Art Corner,in stock,new,500.00 EGP,https://art-corner.org/index.html?p=37,https://art-corner.org/art-37.jpeg,Art Corner
38,Art Corner - ساعة حائط دائرية بقطاعات رمادية وذهبية هندسية,قطعة فنية أصلية مرسومة يدويًا من Art Corner,in stock,new,900.00 EGP,https://art-corner.org/index.html?p=38,https://art-corner.org/art-38.jpeg,Art Corner
39,Art Corner - طقم ساعة حائط وعلبة مناديل بنقش ذهبي على خلفية خضراء رمادية,قطعة فنية أصلية مرسومة يدويًا من Art Corner,in stock,new,1400.00 EGP,https://art-corner.org/index.html?p=39,https://art-corner.org/art-39.jpeg,Art Corner
40,Art Corner - قطعة خشبية بكلمة Relax بلون أزرق ترابي,قطعة فنية أصلية مرسومة يدويًا من Art Corner,in stock,new,250.00 EGP,https://art-corner.org/index.html?p=40,https://art-corner.org/art-40.jpeg,Art Corner
41,Art Corner - صينية خشبية خضراء برسمة فنجان قهوة وخط عربي,قطعة فنية أصلية مرسومة يدويًا من Art Corner,in stock,new,400.00 EGP,https://art-corner.org/index.html?p=41,https://art-corner.org/art-41.jpeg,Art Corner
42,Art Corner - قطعتان خشبيتان بخط عربي منحوت بلونين أزرق وبني,قطعة فنية أصلية مرسومة يدويًا من Art Corner,in stock,new,300.00 EGP,https://art-corner.org/index.html?p=42,https://art-corner.org/art-42.jpeg,Art Corner
43,Art Corner - طقم قطعتين خشبيتين معلقتين بنقش ورود وردية على خلفية زرقاء,قطعة فنية أصلية مرسومة يدويًا من Art Corner,in stock,new,200.00 EGP,https://art-corner.org/index.html?p=43,https://art-corner.org/art-43.jpeg,Art Corner
44,Art Corner - طقم شنطتين قماش بطبعة زهور وألوان مرسومة,قطعة فنية أصلية مرسومة يدويًا من Art Corner,in stock,new,150.00 EGP,https://art-corner.org/index.html?p=44,https://art-corner.org/art-44.jpeg,Art Corner
45,Art Corner - علبة مجوهرات خشبية خضراء بنقش وردي دائري,قطعة فنية أصلية مرسومة يدويًا من Art Corner,in stock,new,500.00 EGP,https://art-corner.org/index.html?p=45,https://art-corner.org/art-45.jpeg,Art Corner
46,Art Corner - طقم شنطة قماش وحقيبة صغيرة برسمة منازل ملونة,قطعة فنية أصلية مرسومة يدويًا من Art Corner,in stock,new,350.00 EGP,https://art-corner.org/index.html?p=46,https://art-corner.org/art-46.jpeg,Art Corner
47,Art Corner - لوحة جدارية كبيرة بخط عربي ذهبي بارز على خلفية برونزية,قطعة فنية أصلية مرسومة يدويًا من Art Corner,in stock,new,1500.00 EGP,https://art-corner.org/index.html?p=47,https://art-corner.org/art-47.jpeg,Art Corner
48,Art Corner - علبة مجوهرات خشبية زرقاء فاتحة بنقش زهور فضي بارز,قطعة فنية أصلية مرسومة يدويًا من Art Corner,in stock,new,500.00 EGP,https://art-corner.org/index.html?p=48,https://art-corner.org/art-48.jpeg,Art Corner
49,Art Corner - علبة مناديل خشبية بلون أخضر فاتح بسيطة,قطعة فنية أصلية مرسومة يدويًا من Art Corner,in stock,new,450.00 EGP,https://art-corner.org/index.html?p=49,https://art-corner.org/art-49.jpeg,Art Corner
50,Art Corner - طقم بحري صينية وعلبة مناديل وقطع خشبية بتصميم صيفي,قطعة فنية أصلية مرسومة يدويًا من Art Corner,in stock,new,1350.00 EGP,https://art-corner.org/index.html?p=50,https://art-corner.org/art-50.jpeg,Art Corner
51,Art Corner - طقم قطع خشبية بحرية كلمات وأشكال بحرية,قطعة فنية أصلية مرسومة يدويًا من Art Corner,in stock,new,500.00 EGP,https://art-corner.org/index.html?p=51,https://art-corner.org/art-51.jpeg,Art Corner
52,Art Corner - صينية خشبية زرقاء فاتحة بطبعة صيفية ملونة,قطعة فنية أصلية مرسومة يدويًا من Art Corner,in stock,new,550.00 EGP,https://art-corner.org/index.html?p=52,https://art-corner.org/art-52.jpeg,Art Corner
53,Art Corner - بلوزة سوداء بطبعة فتاة بشعر وردي وعبارة إنجليزية,قطعة فنية أصلية مرسومة يدويًا من Art Corner,in stock,new,400.00 EGP,https://art-corner.org/index.html?p=53,https://art-corner.org/art-53.jpeg,Art Corner
54,Art Corner - بلوزة بيضاء برسمة وجه بنظارة شمسية وعبارة إنجليزية,قطعة فنية أصلية مرسومة يدويًا من Art Corner,in stock,new,400.00 EGP,https://art-corner.org/index.html?p=54,https://art-corner.org/art-54.jpeg,Art Corner
55,Art Corner - تيشيرت أطفال أبيض برسمة النمر الوردي الكرتونية,قطعة فنية أصلية مرسومة يدويًا من Art Corner,in stock,new,350.00 EGP,https://art-corner.org/index.html?p=55,https://art-corner.org/art-55.jpeg,Art Corner
56,Art Corner - صينية خشبية زرقاء بمقابض ذهبية منحوتة ونقش زخرفي,قطعة فنية أصلية مرسومة يدويًا من Art Corner,in stock,new,650.00 EGP,https://art-corner.org/index.html?p=56,https://art-corner.org/art-56.jpeg,Art Corner
57,Art Corner - بلوزة سوداء بطبعة نمر بألوان مائية زاهية,قطعة فنية أصلية مرسومة يدويًا من Art Corner,in stock,new,400.00 EGP,https://art-corner.org/index.html?p=57,https://art-corner.org/art-57.jpeg,Art Corner
58,Art Corner - طقم مساند أكواب خشبية زرقاء بنقش دمشقي بارز,قطعة فنية أصلية مرسومة يدويًا من Art Corner,in stock,new,250.00 EGP,https://art-corner.org/index.html?p=58,https://art-corner.org/art-58.jpeg,Art Corner
59,Art Corner - لوحتان جداريتان بخط عربي ملون على خلفية بيضاء,قطعة فنية أصلية مرسومة يدويًا من Art Corner,in stock,new,600.00 EGP,https://art-corner.org/index.html?p=59,https://art-corner.org/art-59.jpeg,Art Corner
60,Art Corner - علبة مجوهرات خشبية بنقش طيور وأزهار على خلفية زرقاء وردية,قطعة فنية أصلية مرسومة يدويًا من Art Corner,in stock,new,500.00 EGP,https://art-corner.org/index.html?p=60,https://art-corner.org/art-60.jpeg,Art Corner
61,Art Corner - كلمة عربية خشبية منحوتة بلون أبيض كريمي,قطعة فنية أصلية مرسومة يدويًا من Art Corner,in stock,new,250.00 EGP,https://art-corner.org/index.html?p=61,https://art-corner.org/art-61.jpeg,Art Corner
62,Art Corner - صينية خشبية زرقاء فاتحة بنقشة زهرة ذهبية صغيرة,قطعة فنية أصلية مرسومة يدويًا من Art Corner,in stock,new,500.00 EGP,https://art-corner.org/index.html?p=62,https://art-corner.org/art-62.jpeg,Art Corner
63,Art Corner - علبة مجوهرات خشبية فيروزية بملمس متشقق ونقش زهور بارز,قطعة فنية أصلية مرسومة يدويًا من Art Corner,in stock,new,650.00 EGP,https://art-corner.org/index.html?p=63,https://art-corner.org/art-63.jpeg,Art Corner
64,Art Corner - شال أسود مطرز برسومات منازل ونخيل ملونة,قطعة فنية أصلية مرسومة يدويًا من Art Corner,in stock,new,350.00 EGP,https://art-corner.org/index.html?p=64,https://art-corner.org/art-64.jpeg,Art Corner
65,Art Corner - لوحتان جداريتان خشبيتان بخط عربي ملون,قطعة فنية أصلية مرسومة يدويًا من Art Corner,in stock,new,600.00 EGP,https://art-corner.org/index.html?p=65,https://art-corner.org/art-65.jpeg,Art Corner
66,Art Corner - لوحة جدارية مربعة بخط عربي فضي أزرق على شكل طائر,قطعة فنية أصلية مرسومة يدويًا من Art Corner,in stock,new,600.00 EGP,https://art-corner.org/index.html?p=66,https://art-corner.org/art-66.jpeg,Art Corner
67,Art Corner - ساعة حائط دائرية خضراء زيتونية بنقش ذهبي بدون أرقام,قطعة فنية أصلية مرسومة يدويًا من Art Corner,in stock,new,750.00 EGP,https://art-corner.org/index.html?p=67,https://art-corner.org/art-67.jpeg,Art Corner
68,Art Corner - طبق حائط دائري نصفه بخط عربي ونصفه بزخارف فوانيس رمضانية,قطعة فنية أصلية مرسومة يدويًا من Art Corner,out of stock,new,250.00 EGP,https://art-corner.org/index.html?p=68,https://art-corner.org/art-68.jpeg,Art Corner
69,Art Corner - ساعة حائط دائرية خضراء داكنة بأرقام رومانية ذهبية,قطعة فنية أصلية مرسومة يدويًا من Art Corner,in stock,new,750.00 EGP,https://art-corner.org/index.html?p=69,https://art-corner.org/art-69.jpeg,Art Corner
70,Art Corner - علبة مجوهرات خشبية زرقاء مخضرة بأربعة أقسام داخلية,قطعة فنية أصلية مرسومة يدويًا من Art Corner,in stock,new,500.00 EGP,https://art-corner.org/index.html?p=70,https://art-corner.org/art-70.jpeg,Art Corner
71,Art Corner - علبة خشبية زرقاء بملمس متشقق ونقش زهور فضي بارز,قطعة فنية أصلية مرسومة يدويًا من Art Corner,in stock,new,650.00 EGP,https://art-corner.org/index.html?p=71,https://art-corner.org/art-71.jpeg,Art Corner
72,Art Corner - صندوق خشبي مربع أزرق فاتح بنقش زهور ذهبي دائري,قطعة فنية أصلية مرسومة يدويًا من Art Corner,out of stock,new,350.00 EGP,https://art-corner.org/index.html?p=72,https://art-corner.org/art-72.jpeg,Art Corner
73,Art Corner - طقم علبتين مجوهرات خشبيتين خضراوين بإطار ذهبي وصورة وردة بيضاوية,قطعة فنية أصلية مرسومة يدويًا من Art Corner,in stock,new,550.00 EGP,https://art-corner.org/index.html?p=73,https://art-corner.org/art-73.jpeg,Art Corner
74,Art Corner - علبة صغيرة فيروزية بنقش شمسي بارز,قطعة فنية أصلية مرسومة يدويًا من Art Corner,out of stock,new,500.00 EGP,https://art-corner.org/index.html?p=74,https://art-corner.org/art-74.jpeg,Art Corner
75,Art Corner - علبة معدنية دائرية زرقاء بغطاء أبيض برسمة زهور وبالونات عيد ميلاد,قطعة فنية أصلية مرسومة يدويًا من Art Corner,out of stock,new,550.00 EGP,https://art-corner.org/index.html?p=75,https://art-corner.org/art-75.jpeg,Art Corner
76,Art Corner - لوحة دائرية بخط عربي ذهبي وزخارف فسيفساء على خلفية فيروزية,قطعة فنية أصلية مرسومة يدويًا من Art Corner,in stock,new,300.00 EGP,https://art-corner.org/index.html?p=76,https://art-corner.org/art-76.jpeg,Art Corner
77,Art Corner - طقم تجميل خشبي أزرق فاتح مشط ومرآة وفرشاة بنقش ذهبي,قطعة فنية أصلية مرسومة يدويًا من Art Corner,in stock,new,650.00 EGP,https://art-corner.org/index.html?p=77,https://art-corner.org/art-77.jpeg,Art Corner
78,Art Corner - كلمة عربية خشبية منحوتة بلون وردي فاتح,قطعة فنية أصلية مرسومة يدويًا من Art Corner,in stock,new,250.00 EGP,https://art-corner.org/index.html?p=78,https://art-corner.org/art-78.jpeg,Art Corner
79,Art Corner - طقم شنطة وحقيبة صغيرة قماش مطرزة برسومات منازل ونخيل ملونة,قطعة فنية أصلية مرسومة يدويًا من Art Corner,in stock,new,450.00 EGP,https://art-corner.org/index.html?p=79,https://art-corner.org/art-79.jpeg,Art Corner
80,Art Corner - ساعة حائط دائرية خضراء داكنة بأرقام رومانية ذهبية ونقش بارز,قطعة فنية أصلية مرسومة يدويًا من Art Corner,in stock,new,750.00 EGP,https://art-corner.org/index.html?p=80,https://art-corner.org/art-80.jpeg,Art Corner
81,Art Corner - قطعة رمضانية خشبية على شكل قوس بهلال ذهبي,قطعة فنية أصلية مرسومة يدويًا من Art Corner,in stock,new,400.00 EGP,https://art-corner.org/index.html?p=81,https://art-corner.org/art-81.jpeg,Art Corner
82,Art Corner - لوحة جدارية كبيرة بخط عربي ذهبي وزخارف فيروزية دائرية,قطعة فنية أصلية مرسومة يدويًا من Art Corner,in stock,new,750.00 EGP,https://art-corner.org/index.html?p=82,https://art-corner.org/art-82.jpeg,Art Corner
83,Art Corner - حامل بيض معدني ذهبي اللون على شكل زهرة بتمثال ديك,قطعة فنية أصلية مرسومة يدويًا من Art Corner,in stock,new,350.00 EGP,https://art-corner.org/index.html?p=83,https://art-corner.org/art-83.jpeg,Art Corner
84,Art Corner - حامل بيض معدني ذهبي مع بيض مزخرف يدويًا,قطعة فنية أصلية مرسومة يدويًا من Art Corner,in stock,new,350.00 EGP,https://art-corner.org/index.html?p=84,https://art-corner.org/art-84.jpeg,Art Corner
85,Art Corner - قطعة خشبية بكلمة Beach ورموز بحرية بلون فيروزي,قطعة فنية أصلية مرسومة يدويًا من Art Corner,in stock,new,700.00 EGP,https://art-corner.org/index.html?p=85,https://art-corner.org/art-85.jpeg,Art Corner
86,Art Corner - حامل بخور على شكل درويش متصوف بقاعدة قلب أبيض,قطعة فنية أصلية مرسومة يدويًا من Art Corner,in stock,new,450.00 EGP,https://art-corner.org/index.html?p=86,https://art-corner.org/art-86.jpeg,Art Corner
87,Art Corner - علبة مجوهرات وفرشاة,قطعة فنية أصلية مرسومة يدويًا من Art Corner,in stock,new,700.00 EGP,https://art-corner.org/index.html?p=87,https://art-corner.org/art-87.jpeg,Art Corner
88,Art Corner - صينية خشبية بيضاء بمقابض ذهبية منحوتة ونقش هندسي,قطعة فنية أصلية مرسومة يدويًا من Art Corner,in stock,new,650.00 EGP,https://art-corner.org/index.html?p=88,https://art-corner.org/art-88.jpeg,Art Corner
89,Art Corner - علبة مجوهرات,قطعة فنية أصلية مرسومة يدويًا من Art Corner,out of stock,new,500.00 EGP,https://art-corner.org/index.html?p=89,https://art-corner.org/art-89.jpeg,Art Corner
90,Art Corner - حقيبة قماش مقلمة برسمة سرطان وعبارة Oh Crab,قطعة فنية أصلية مرسومة يدويًا من Art Corner,in stock,new,175.00 EGP,https://art-corner.org/index.html?p=90,https://art-corner.org/art-90.jpeg,Art Corner
91,Art Corner - حقيبة قماش برسمة امرأة تحت مظلة شاطئ وردية,قطعة فنية أصلية مرسومة يدويًا من Art Corner,in stock,new,175.00 EGP,https://art-corner.org/index.html?p=91,https://art-corner.org/art-91.jpeg,Art Corner
92,Art Corner - حقيبة قماش برسمة نخلة بطراز مطبوع تقليدي,قطعة فنية أصلية مرسومة يدويًا من Art Corner,in stock,new,175.00 EGP,https://art-corner.org/index.html?p=92,https://art-corner.org/art-92.jpeg,Art Corner
93,Art Corner - قطعة حائط خشبية بإطار فيروزي وسرطان وردي وكلمة sea,قطعة فنية أصلية مرسومة يدويًا من Art Corner,in stock,new,250.00 EGP,https://art-corner.org/index.html?p=93,https://art-corner.org/art-93.jpeg,Art Corner
94,Art Corner - مريلة مطبخ كريمية بعبارات ملونة مطرزة,قطعة فنية أصلية مرسومة يدويًا من Art Corner,in stock,new,200.00 EGP,https://art-corner.org/index.html?p=94,https://art-corner.org/art-94.jpeg,Art Corner
95,Art Corner - معلقة سيارة خشبية على شكل شبشب بحري فيروزي,قطعة فنية أصلية مرسومة يدويًا من Art Corner,in stock,new,70.00 EGP,https://art-corner.org/index.html?p=95,https://art-corner.org/art-95.jpeg,Art Corner
96,Art Corner - علبة خشبية فيروزية بنقش دمشقي ذهبي بارز على كامل السطح,قطعة فنية أصلية مرسومة يدويًا من Art Corner,in stock,new,550.00 EGP,https://art-corner.org/index.html?p=96,https://art-corner.org/art-96.jpeg,Art Corner
